ISO-CODE-GEOGRAPHIC-UNIT;GEOGRAPHIC-NAME;ISO-CODE-PROVINCE;PROVINCE-NAME;LATITUDE;LONGITUDE;DISTRICT-NAME;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74940;4.69513;Kabupaten Aceh Barat;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74941;4.69514;Kabupaten Aceh Barat Daya;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74942;4.69515;Kabupaten Aceh Besar;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74943;4.69516;Kabupaten Aceh Jaya;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74944;4.69517;Kabupaten Aceh Selatan;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74945;4.69518;Kabupaten Aceh Singkil;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74946;4.69519;Kabupaten Aceh Tamiang;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74947;4.69520;Kabupaten Aceh Tengah;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74948;4.69521;Kabupaten Aceh Tenggara;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74949;4.69522;Kabupaten Aceh Timur;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74950;4.69523;Kabupaten Aceh Utara;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74951;4.69524;Kabupaten Bener Meriah;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74952;4.69525;Kabupaten Bireuen;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74953;4.69526;Kabupaten Gayo Lues;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74954;4.69527;Kabupaten Nagan Raya;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74955;4.69528;Kabupaten Pidie;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74956;4.69529;Kabupaten Pidie Jaya;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74957;4.69530;Kabupaten Simeulue;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74958;4.69531;Kota Banda Aceh;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74959;4.69532;Kota Langsa;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74960;4.69533;Kota Lhokseumawe;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74961;4.69534;Kota Sabang;;;
ID-SM;Sumatera;ID-AC;Aceh;96.74962;4.69535;Kota Subulussalam;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54510;2.11535;Kabupaten Asahan;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54511;2.11536;Kabupaten Batubara;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54512;2.11537;Kabupaten Dairi;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54513;2.11538;Kabupaten Deli Serdang;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54514;2.11539;Kabupaten Humbang Hasundutan;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54515;2.11540;Kabupaten Karo;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54516;2.11541;Kabupaten Labuhanbatu;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54517;2.11542;Kabupaten Labuhanbatu Selatan;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54518;2.11543;Kabupaten Labuhanbatu Utara;;;
ID-SM;Sumatera;ID-SU;Sumatera Utara;99.54519;2.11544;Kabupaten Langkat;;;
